g) | Temp = 33.12 degC 
Gyro: X =   -0.14840, Y =    0.07634, Z =   -0.02031 (dps) | Acc: X = -0.00233, Y = 0.00232, Z = 1.00204 (g) | Temp = 33.12 degC 
Gyro: X =    0.17985, Y =    0.18321, Z =    0.00260 (dps) | Acc: X = -0.00062, Y = 0.00183, Z = 0.99643 (g) | Temp = 33.17 degC 
Gyro: X =   -0.02626, Y =    0.17557, Z =   -0.07374 (dps) | Acc: X = -0.00184, Y = 0.00110, Z = 0.99984 (g) | Temp = 33.32 degC 
Gyro: X =   -0.03389, Y =    0.13740, Z =    0.07893 (dps) | Acc: X = -0.00062, Y = -0.00476, Z = 1.00302 (g) | Temp = 33.32 degC 
Gyro: X =   -0.12550, Y =    0.19847, Z =    0.08656 (dps) | Acc: X = -0.00038, Y = -0.00037, Z = 1.00399 (g) | Temp = 33.17 degC 
Gyro: X =    0.20275, Y =   -0.12977, Z =    0.23924 (dps) | Acc: X = -0.00062, Y = 0.00500, Z = 0.99838 (g) | Temp = 33.22 degC 
Gyro: X =   -0.01863, Y =   -0.15267, Z =   -0.18824 (dps) | Acc: X = -0.00355, Y = -0.00354, Z = 0.99594 (g) | Temp = 33.32 degC 
Gyro: X =   -0.10260, Y =    0.04580, Z =    0.00260 (dps) | Acc: X = -0.00160, Y = -0.00037, Z = 1.00277 (g) | Temp = 33.32 degC 
Gyro: X =    0.17221, Y =    0.05344, Z =    0.20870 (dps) | Acc: X = 0.00060, Y = -0.00061, Z = 1.00399 (g) | Temp = 33.32 degC 
Gyro: X =    0.08061, Y =   -0.15267, Z =   -0.02031 (dps) | Acc: X = -0.00111, Y = 0.00012, Z = 1.00180 (g) | Temp = 33.22 degC 
Gyro: X =   -0.01099, Y =    0.03817, Z =    0.15527 (dps) | Acc: X = -0.00111, Y = 0.00159, Z = 0.99740 (g) | Temp = 33.36 degC 
Gyro: X =    0.01954, Y =   -0.16031, Z =   -0.08137 (dps) | Acc: X = -0.00208, Y = -0.00061, Z = 1.00180 (g) | Temp = 33.41 degC 
Gyro: X =   -0.12550, Y =    0.01527, Z =   -0.17298 (dps) | Acc: X = -0.00208, Y = 0.00085, Z = 0.99472 (g) | Temp = 32.98 degC 
Gyro: X =   -0.04153, Y =   -0.03817, Z =   -0.24168 (dps) | Acc: X = -0.00086, Y = 0.00208, Z = 0.99813 (g) | Temp = 33.17 degC 
Gyro: X =    0.01191, Y =    0.14504, Z =    0.29267 (dps) | Acc: X = -0.00111, Y = 0.00110, Z = 0.99716 (g) | Temp = 33.36 degC 
Gyro: X =    0.17985, Y =    0.21374, Z =   -0.20351 (dps) | Acc: X = -0.00404, Y = 0.00085, Z = 0.99496 (g) | Temp = 33.36 degC 
Gyro: X =   -0.20183, Y =   -0.04580, Z =   -0.20351 (dps) | Acc: X = -0.00111, Y = 0.00134, Z = 1.00277 (g) | Temp = 33.22 degC 
Gyro: X =    0.22565, Y =   -0.28244, Z =   -0.07374 (dps) | Acc: X = -0.00208, Y = 0.00256, Z = 0.99521 (g) | Temp = 33.41 degC 
Gyro: X =   -0.10260, Y =    0.03817, Z =   -0.08901 (dps) | Acc: X = -0.00160, Y = -0.00134, Z = 0.99374 (g) | Temp = 33.32 degC 
Gyro: X =   -0.06443, Y =    0.24427, Z =    0.03313 (dps) | Acc: X = 0.00084, Y = -0.00037, Z = 0.99691 (g) | Temp = 33.12 degC 
Gyro: X =    0.13405, Y =    0.12977, Z =    0.00260 (dps) | Acc: X = -0.00355, Y = -0.00354, Z = 1.00180 (g) | Temp = 33.17 degC 
Gyro: X =   -0.01099, Y =    0.16031, Z =    0.07130 (dps) | Acc: X = -0.00331, Y = -0.00232, Z = 1.00131 (g) | Temp = 33.32 degC 
Gyro: X =   -0.13313, Y =   -0.08397, Z =   -0.13481 (dps) | Acc: X = -0.00208, Y = 0.00061, Z = 1.00546 (g) | Temp = 33.17 degC 
Gyro: X =   -0.21710, Y =   -0.02290, Z =   -0.35618 (dps) | Acc: X = -0.00111, Y = -0.00012, Z = 1.00644 (g) | Temp = 33.41 degC 
Gyro: X =   -0.13313, Y =   -0.03053, Z =    0.22397 (dps) | Acc: X = -0.00257, Y = 0.00061, Z = 1.00033 (g) | Temp = 33.32 degC 
Gyro: X =   -0.14076, Y =   -0.08397, Z =    0.07130 (dps) | Acc: = -0.00134, Z  X = -0.00135, Y= 1.00619 (g) | Temp = 33.32 degC 
Gyro: X =    0.01191, Y =    0.14504, Z =    0.17053 (dps) | Acc: X = -0.00135, Y = -0.00085, Z = 0.99862 (g) | Temp = 33.41 degC 
Gyro: X =    0.08824, Y =    0.03817, Z =   -0.01267 (dps) | Acc: X = -0.00111, Y = 0.00427, Z = 1.00131 (g) | Temp = 33.22 degC 
Gyro: X =   -0.16366, Y =   -0.09160, Z =   -0.24168 (dps) | Acc: X = 0.00109, Y = 0.00159, Z = 1.00302 (g) | Temp = 33.41 degC 
Gyro: X =   -0.06443, Y =   -0.00763, Z =   -0.02031 (dps) | Acc: X = 0.00011, Y = 0.00427, Z = 1.00082 (g) | Temp = 33.17 degC 
Gyro: X =   -0.19420, Y =   -0.11450, Z =    0.09420 (dps) | Acc: X = -0.00086, Y = -0.00085, Z = 1.00204 (g) | Temp = 33.32 degC 
Gyro: X =   -0.02626, Y =    0.16794, Z =   -0.10427 (dps) | Acc: X = -0.00404, Y = 0.00403, Z = 0.99667 (g) | Temp = 33.22 degC 
Gyro: X =   -0.03389, Y =   -0.25954, Z =    0.08656 (dps) | Acc: X = -0.00453, Y = -0.00232, Z = 0.99789 (g) | Temp = 33.32 degC 
Gyro: X =     0.16031, Z =   0.05008, Y =   -0.13481 (dps) | Acc: X = 0.00255, Y = 0.00110, Z = 1.00009 (g) | Temp = 33.32 degC 
Gyro: X =   -0.04916, Y =   -0.09924, Z =   -0.20351 (dps) | Acc: X = -0.00160, Y = -0.00525, Z = 1.00717 (g) | Temp = 33.32 degC 
Gyro: X =   -0.07969, Y =   -0.01527, Z =   -0.09664 (dps) | Acc: X = -0.00038, Y = -0.00500, Z = 0.99594 (g) | Temp = 33.17 degC 
Gyro: X =   -0.04916, Y =    0.04580, Z =    0.04840 (dps) | Acc: X = 0.00011, Y = -0.00208, Z = 1.00253 (g) | Temp = 33.36 degC 
Gyro: X =   -0.20947, Y =   -0.00763, Z =    0.20870 (dps) | Acc: X = -0.00477, Y = -0.00012, Z = 0.99545 (g) | Temp = 33.03 degC 
Gyro: X =    0.07298, Y =   -0.05344, Z =    0.17053 (dps) | Acc: X = 0.00280, Y = -0.00061, Z = 1.00302 (g) | Temp = 33.17 degC 
